,Tweet_Id,In_Reply_To_Status_Id,In_Reply_To_User_Id,Timestamp,Source,Text,Expanded_Urls,Point,Name,Retweet_Count,Favorite_Count,Breed,Breed_Confidence,isDog,Stage,Name_Lenght
659,758828659922702336,nan,nan,2016-07-29 00:57:05,Twitter for iPhone,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,https://twitter.com/dog_rates/status/758828659922702336/photo/1,1.3,,4376.0,12376.0,Chesapeake Bay Retriever,0.480048,True,Doggo,
671,757393109802180609,nan,nan,2016-07-25 01:52:43,Twitter for iPhone,Here's a doggo completely oblivious to the double rainbow behind him. 10/10 someone tell him https://t.co/OfvRoD6ndV,"https://twitter.com/dog_rates/status/757393109802180609/photo/1,https://twitter.com/dog_rates/status/757393109802180609/photo/1,https://twitter.com/dog_rates/status/757393109802180609/photo/1,https://twitter.com/dog_rates/status/757393109802180609/photo/1",1.0,,2009.0,6462.0,Labrador Retriever,0.787125,True,Doggo,
676,756526248105566208,nan,nan,2016-07-22 16:28:07,Twitter for iPhone,All hail sky doggo. 13/10 would jump super high to pet https://t.co/CsLRpqdeTF,https://twitter.com/dog_rates/status/756526248105566208/photo/1,1.3,,4169.0,11506.0,Geyser,0.991273,False,Doggo,
681,755206590534418437,nan,nan,2016-07-19 01:04:16,Twitter for iPhone,This is one of the most inspirational stories I've ever come across. I have no words. 14/10 for both doggo and owner https://t.co/I5ld3eKD5k,"https://twitter.com/dog_rates/status/755206590534418437/photo/1,https://twitter.com/dog_rates/status/755206590534418437/photo/1,https://twitter.com/dog_rates/status/755206590534418437/photo/1,https://twitter.com/dog_rates/status/755206590534418437/photo/1",1.4,,6148.0,18212.0,Web Site,0.906673,False,Doggo,
690,753420520834629632,nan,nan,2016-07-14 02:47:04,Twitter for iPhone,Here we are witnessing an isolated squad of bouncing doggos. Unbelievably rare for this time of year. 11/10 for all https://t.co/CCdlwiTwQf,https://twitter.com/dog_rates/status/753420520834629632/video/1,1.1,,4071.0,8731.0,Balloon,0.267961,False,Doggo,
450,795464331001561088,nan,nan,2016-11-07 03:14:10,Twitter for iPhone,Elder doggo does a splash. Both 13/10 incredible stuff https://t.co/gBUDjdEcqz,https://twitter.com/dog_rates/status/795464331001561088/video/1,1.3,,27728.0,55683.0,Golden Retriever,0.193082,True,Doggo,
696,752682090207055872,nan,nan,2016-07-12 01:52:49,Twitter for iPhone,Nothing better than a doggo and a sunset. 10/10 majestic af https://t.co/xVSodF19PS,"https://twitter.com/dog_rates/status/752682090207055872/photo/1,https://twitter.com/dog_rates/status/752682090207055872/photo/1",1.0,,1846.0,6642.0,German Shepherd,0.299966,True,Doggo,
699,752334515931054080,nan,nan,2016-07-11 02:51:40,Twitter for iPhone,Here's a doggo trying to catch some fish. 8/10 futile af (vid by @KellyBauerx) https://t.co/jwd0j6oWLE,https://twitter.com/dog_rates/status/752334515931054080/video/1,0.8,,1263.0,4238.0,Bedlington Terrier,0.399163,True,Doggo,
724,750011400160841729,nan,nan,2016-07-04 17:00:26,TweetDeck,Meet Piper. She's an airport doggo. Please return your tray table to its full pupright and locked position. 11/10 https://t.co/D17IAcetmM,https://twitter.com/dog_rates/status/750011400160841729/photo/1,1.1,Piper,1035.0,3568.0,Muzzle,0.23762,False,Doggo,5.0
733,749036806121881602,nan,nan,2016-07-02 00:27:45,Twitter for iPhone,This is Dietrich. He hops at random. Other doggos don't understand him. It upsets him greatly. 8/10 would comfort https://t.co/U8cSRz8wzC,https://twitter.com/dog_rates/status/749036806121881602/photo/1,0.8,Dietrich,896.0,3425.0,Sulphur-Crested Cockatoo,0.960276,False,Doggo,8.0
735,748932637671223296,nan,nan,2016-07-01 17:33:49,Twitter for iPhone,Say hello to Divine Doggo. Must be magical af. 13/10 would be an honor to pet https://t.co/BbcABzohKb,https://twitter.com/dog_rates/status/748932637671223296/photo/1,1.3,Divine,2564.0,6461.0,Borzoi,0.742912,True,Doggo,6.0
738,748692773788876800,nan,nan,2016-07-01 01:40:41,Twitter for iPhone,That is Quizno. This is his beach. He does not tolerate human shenanigans on his beach. 10/10 reclaim ur land doggo https://t.co/vdr7DaRSa7,https://twitter.com/dog_rates/status/748692773788876800/photo/1,1.0,,1504.0,4659.0,Ox,0.337871,False,Doggo,
767,745433870967832576,nan,nan,2016-06-22 01:50:58,Twitter for iPhone,This is Lenox. She's in a wheelbarrow. Silly doggo. You don't belong there. 10/10 would push around https://t.co/oYbVR4nBsR,"https://twitter.com/dog_rates/status/745433870967832576/photo/1,https://twitter.com/dog_rates/status/745433870967832576/photo/1,https://twitter.com/dog_rates/status/745433870967832576/photo/1",1.0,Lenox,2894.0,7824.0,Barrow,0.999962,False,Doggo,5.0
775,744234799360020481,nan,nan,2016-06-18 18:26:18,Twitter for iPhone,Here's a doggo realizing you can stand in a pool. 13/10 enlightened af (vid by Tina Conrad) https://t.co/7wE9LTEXC4,https://twitter.com/dog_rates/status/744234799360020481/video/1,1.3,,79515.0,131075.0,Labrador Retriever,0.825333,True,Doggo,
810,739238157791694849,nan,nan,2016-06-04 23:31:25,Twitter for iPhone,Here's a doggo blowing bubbles. It's downright legendary. 13/10 would watch on repeat forever (vid by Kent Duryee) https://t.co/YcXgHfp1EC,https://twitter.com/dog_rates/status/739238157791694849/video/1,1.3,,52360.0,75163.0,Eskimo Dog,0.503372,True,Doggo,
832,735256018284875776,nan,nan,2016-05-24 23:47:49,Twitter for iPhone,This is Kellogg. He accidentally opened the front facing camera. 8/10 get it together doggo https://t.co/MRYv7nDPyS,https://twitter.com/dog_rates/status/735256018284875776/photo/1,0.8,Kellogg,993.0,3675.0,Staffordshire Bullterrier,0.523191,True,Doggo,7.0
845,732375214819057664,nan,nan,2016-05-17 01:00:32,Twitter for iPhone,This is Kyle (pronounced 'Mitch'). He strives to be the best doggo he can be. 11/10 would pat on head approvingly https://t.co/aA2GiTGvlE,https://twitter.com/dog_rates/status/732375214819057664/photo/1,1.1,Kyle,2838.0,8832.0,Tennis Ball,0.998673,False,Doggo,4.0
848,731156023742988288,nan,nan,2016-05-13 16:15:54,Twitter for iPhone,Say hello to this unbelievably well behaved squad of doggos. 204/170 would try to pet all at once https://t.co/yGQI3He3xv,https://twitter.com/dog_rates/status/731156023742988288/photo/1,1.2,,1434.0,4196.0,Lakeside,0.501767,False,Doggo,
869,727644517743104000,nan,nan,2016-05-03 23:42:26,Twitter for iPhone,Here's a doggo struggling to cope with the winds. 13/10 https://t.co/qv3aUwaouT,"https://twitter.com/dog_rates/status/727644517743104000/photo/1,https://twitter.com/dog_rates/status/727644517743104000/photo/1",1.3,,1962.0,6431.0,Great Pyrenees,0.457164,True,Doggo,
902,719991154352222208,nan,nan,2016-04-12 20:50:42,Twitter for iPhone,This doggo was initially thrilled when she saw the happy cartoon pup but quickly realized she'd been deceived. 10/10 https://t.co/mvnBGaWULV,"https://twitter.com/dog_rates/status/719991154352222208/photo/1,https://twitter.com/dog_rates/status/719991154352222208/photo/1",1.0,,1979.0,5281.0,Golden Retriever,0.605304,True,Doggo,
927,716080869887381504,nan,nan,2016-04-02 01:52:38,Twitter for iPhone,Here's a super majestic doggo and a sunset 11/10 https://t.co/UACnoyi8zu,"https://twitter.com/dog_rates/status/716080869887381504/photo/1,https://twitter.com/dog_rates/status/716080869887381504/photo/1",1.1,,1935.0,5272.0,Golden Retriever,0.638625,True,Doggo,
697,752660715232722944,nan,nan,2016-07-12 00:27:52,Twitter for iPhone,"Hooman used Pokeball
*wiggle*
*wiggle*
Doggo broke free 
10/10 https://t.co/bWSgqnwSHr","https://twitter.com/dog_rates/status/752660715232722944/photo/1,https://twitter.com/dog_rates/status/752660715232722944/photo/1",1.0,,1794.0,4878.0,Goose,0.339324,False,Doggo,
444,796484825502875648,nan,nan,2016-11-09 22:49:15,Twitter for iPhone,Here's a sleepy doggo that requested some assistance. 12/10 would carry everywhere https://t.co/bvkkqOjNDV,https://twitter.com/dog_rates/status/796484825502875648/photo/1,1.2,,2042.0,8472.0,Cocker Spaniel,0.116924,True,Doggo,
882,724771698126512129,nan,nan,2016-04-26 01:26:53,Twitter for iPhone,Nothin better than a doggo and a sunset. 11/10 https://t.co/JlFqOhrHEs,"https://twitter.com/dog_rates/status/724771698126512129/photo/1,https://twitter.com/dog_rates/status/724771698126512129/photo/1,https://twitter.com/dog_rates/status/724771698126512129/photo/1,https://twitter.com/dog_rates/status/724771698126512129/photo/1",1.1,,725.0,2593.0,German Short-Haired Pointer,0.835491,True,Doggo,
431,800018252395122689,nan,nan,2016-11-19 16:49:49,Twitter for iPhone,Here's a doggo doin a struggle. 11/10 much determined https://t.co/gQqRBfkX4I,https://twitter.com/dog_rates/status/800018252395122689/video/1,1.1,,15351.0,31768.0,Vacuum,0.289485,False,Doggo,
432,799757965289017345,nan,nan,2016-11-18 23:35:32,Twitter for iPhone,This is Sobe. She's a h*ckin happy doggo. Only one leg tho. Must have good balance. 13/10 would smile back https://t.co/OiH8PaOxB1,"https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1",1.3,Sobe,2506.0,9390.0,Border Collie,0.442534,True,Doggo,4.0
81,872967104147763200,nan,nan,2017-06-09 00:02:31,Twitter for iPhone,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",1.2,,5669.0,28031.0,Labrador Retriever,0.476913,True,Doggo,
89,871515927908634625,nan,nan,2017-06-04 23:56:03,Twitter for iPhone,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",1.2,Napolean,3628.0,20730.0,Komondor,0.974781,True,Doggo,8.0
98,869596645499047938,nan,nan,2017-05-30 16:49:31,Twitter for iPhone,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",1.2,Scout,3327.0,16476.0,Chihuahua,0.955156,True,Doggo,5.0
185,846514051647705089,nan,nan,2017-03-28 00:07:32,Twitter for iPhone,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",1.3,Barney,13076.0,48410.0,Golden Retriever,0.650003,True,Doggo,6.0
206,841439858740625411,nan,nan,2017-03-14 00:04:30,Twitter for iPhone,Here we have some incredible doggos for #K9VeteransDay. All brave as h*ck. Salute your dog in solidarity. 14/10 for all https://t.co/SVNMdFqKDL,"https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1",1.4,,4168.0,13755.0,Military Uniform,0.853684,False,Doggo,
226,836753516572119041,nan,nan,2017-03-01 01:42:39,Twitter for iPhone,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY,https://twitter.com/dog_rates/status/836753516572119041/photo/1,1.2,Meera,5237.0,21029.0,Mortarboard,0.936882,False,Doggo,5.0
238,834574053763584002,nan,nan,2017-02-23 01:22:14,Twitter for iPhone,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10 https://t.co/UtEVnQ1ZPg,https://twitter.com/dog_rates/status/834574053763584002/photo/1,1.3,,2882.0,14993.0,Toilet Tissue,0.226564,True,Doggo,
248,832998151111966721,nan,nan,2017-02-18 17:00:10,Twitter for iPhone,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 https://t.co/QX1h0oqMz0","https://twitter.com/dog_rates/status/832998151111966721/photo/1,https://twitter.com/dog_rates/status/832998151111966721/photo/1",1.3,Rhino,2522.0,14549.0,Boxer,0.539036,True,Doggo,5.0
253,832273440279240704,nan,nan,2017-02-16 17:00:25,Twitter for iPhone,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz,https://twitter.com/dog_rates/status/832273440279240704/video/1,1.4,Smiley,2673.0,12385.0,Pembroke,0.134081,True,Doggo,6.0
254,832032802820481025,nan,nan,2017-02-16 01:04:13,Twitter for iPhone,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M","https://www.petfinder.com/petdetail/34918210,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1",1.2,Miguel,4746.0,13887.0,Whippet,0.601712,True,Doggo,6.0
255,831939777352105988,nan,nan,2017-02-15 18:54:34,Twitter for iPhone,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet https://t.co/k9bzgyVdUT,https://twitter.com/dog_rates/status/831939777352105988/photo/1,1.2,Emanuel,7031.0,26404.0,Pomeranian,0.153862,True,Doggo,7.0
260,831322785565769729,nan,nan,2017-02-14 02:02:51,Twitter for iPhone,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly https://t.co/Xc0gyovCtK,https://twitter.com/dog_rates/status/831322785565769729/photo/1,1.2,Pete,1744.0,10042.0,Old English Sheepdog,0.999715,True,Doggo,4.0
269,829449946868879360,nan,nan,2017-02-08 22:00:52,Twitter for iPhone,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 https://t.co/fmRS43mWQB,https://twitter.com/dog_rates/status/829449946868879360/photo/1,1.1,,2329.0,11519.0,Labrador Retriever,0.315163,True,Doggo,
270,829374341691346946,nan,nan,2017-02-08 17:00:26,Twitter for iPhone,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao,"https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1",1.3,Astrid,10706.0,38074.0,Staffordshire Bullterrier,0.757547,True,Doggo,6.0
37,884162670584377345,nan,nan,2017-07-09 21:29:42,Twitter for iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,https://twitter.com/dog_rates/status/884162670584377345/photo/1,1.2,Yogi,3128.0,20771.0,German Shepherd,0.707046,True,Doggo,4.0
288,826958653328592898,nan,nan,2017-02-02 01:01:21,Twitter for iPhone,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR,https://twitter.com/dog_rates/status/826958653328592898/photo/1,1.2,Loki,5757.0,23767.0,Golden Retriever,0.6173890000000001,True,Doggo,4.0
278,828381636999917570,nan,nan,2017-02-05 23:15:47,Twitter for iPhone,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly https://t.co/iCk7zstRA9,https://twitter.com/dog_rates/status/828381636999917570/photo/1,1.4,Doobert,2554.0,13864.0,Bedlington Terrier,0.392535,True,Doggo,7.0
370,813127251579564032,nan,nan,2016-12-25 21:00:18,Twitter for iPhone,Here's an anonymous doggo that appears to be very done with Christmas. 11/10 cheer up pup https://t.co/BzITyGw3JA,"https://twitter.com/dog_rates/status/813127251579564032/photo/1,https://twitter.com/dog_rates/status/813127251579564032/photo/1",1.1,,3652.0,13242.0,Norwegian Elkhound,0.432416,True,Doggo,
372,813096984823349248,nan,nan,2016-12-25 19:00:02,Twitter for iPhone,This is Rocky. He got triple-doggo-dared. Stuck af. 11/10 someone help him https://t.co/soNL00XWVu,https://twitter.com/dog_rates/status/813096984823349248/photo/1,1.1,Rocky,4207.0,11694.0,Great Dane,0.128056,True,Doggo,5.0
365,813202720496779264,nan,nan,2016-12-26 02:00:11,Twitter for iPhone,Here's a doggo who has concluded that Christmas is entirely too bright. Requests you tone it down a notch. 11/10 https://t.co/cD967DjnIn,https://twitter.com/dog_rates/status/813202720496779264/photo/1,1.1,,2090.0,10192.0,Cocker Spaniel,0.701852,True,Doggo,
361,813910438903693312,nan,nan,2016-12-28 00:52:25,Twitter for iPhone,This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist https://t.co/z1VRj1cYZf,https://twitter.com/dog_rates/status/813910438903693312/photo/1,1.1,Chubbs,2194.0,10342.0,Siberian Husky,0.6993550000000001,True,Doggo,6.0
352,815990720817401858,nan,nan,2017-01-02 18:38:42,Twitter for iPhone,"Meet Jack. He's one of the rare doggos that doesn't mind baths. 11/10 click the link to see how you can help Jack!

https://t.co/r4W111FzAq https://t.co/fQpYuMKG3p","https://www.gofundme.com/surgeryforjacktheminpin,https://twitter.com/dog_rates/status/815990720817401858/photo/1",1.1,Jack,1207.0,5545.0,Chihuahua,0.428756,True,Doggo,4.0
332,819006400881917954,nan,nan,2017-01-11 02:21:57,Twitter for iPhone,This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb,"https://twitter.com/dog_rates/status/819006400881917954/photo/1,https://twitter.com/dog_rates/status/819006400881917954/photo/1,https://twitter.com/dog_rates/status/819006400881917954/photo/1,https://twitter.com/dog_rates/status/819006400881917954/photo/1",1.4,Sunny,21794.0,49960.0,Prison,0.907083,False,Doggo,5.0
333,819004803107983360,nan,nan,2017-01-11 02:15:36,Twitter for iPhone,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,"https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1",1.4,Bo,42228.0,95450.0,Standard Poodle,0.351308,True,Doggo,2.0
320,821107785811234820,nan,nan,2017-01-16 21:32:06,Twitter for iPhone,Here's a doggo who looks like he's about to give you a list of mythical ingredients to go collect for his potion. 11/10 would obey https://t.co/8SiwKDlRcl,https://twitter.com/dog_rates/status/821107785811234820/photo/1,1.1,,2487.0,10645.0,Pomeranian,0.85659,True,Doggo,
318,821407182352777218,nan,nan,2017-01-17 17:21:47,Twitter for iPhone,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) https://t.co/Xn5AQtiqzG,https://twitter.com/dog_rates/status/821407182352777218/video/1,1.4,Sundance,5053.0,13075.0,Irish Setter,0.5054960000000001,True,Doggo,8.0
316,821765923262631936,nan,nan,2017-01-18 17:07:18,Twitter for iPhone,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af https://t.co/maDNMETA52,https://twitter.com/dog_rates/status/821765923262631936/photo/1,1.3,Duchess,1899.0,9317.0,Golden Retriever,0.980071,True,Doggo,7.0
293,826204788643753985,nan,nan,2017-01-30 23:05:46,Twitter for iPhone,"Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 
https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX","http://us.blastingnews.com/news/2017/01/kentucky-teen-helps-lost-yellow-labrador-and-gets-a-huge-surprise-001431969.html?sbdht=_pM1QUzk3wsenGU1giO7UnJ5NGGiKRW9AD5xs2MkaDpYY13JxbtKE4w2_,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1",1.3,,1075.0,5361.0,Labrador Retriever,0.782058,True,Doggo,
291,826476773533745153,nan,nan,2017-01-31 17:06:32,Twitter for iPhone,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10 https://t.co/YIV8sw8xkh,https://twitter.com/dog_rates/status/826476773533745153/photo/1,1.2,Pilot,4821.0,20275.0,German Shepherd,0.7418600000000001,True,Doggo,5.0
289,826848821049180160,nan,nan,2017-02-01 17:44:55,Twitter for iPhone,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af https://t.co/WS0Gha8vRh,"https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1",1.3,Cupid,11878.0,40325.0,Great Pyrenees,0.858764,True,Doggo,5.0
327,819924195358416896,nan,nan,2017-01-13 15:08:56,Twitter for iPhone,Here we have a doggo who has messed up. He was hoping you wouldn't notice. 11/10 someone help him https://t.co/XdRNXNYD4E,https://twitter.com/dog_rates/status/819924195358416896/video/1,1.1,,5607.0,14305.0,Bathtub,0.100896,False,Doggo,
2832,733822306246479872,nan,nan,2016-05-21 00:50:46,Twitter for iPhone,This is Moose. He's a Polynesian Floofer. Dapper af. 10/10 would pet diligently https://t.co/mVfqRdppTL,https://twitter.com/dog_rates/status/733822306246479872/photo/1,1.0,Moose,1141.0,4015.0,Lhasa,0.457356,True,Floofer,5.0
3279,685307451701334016,nan,nan,2016-01-08 03:50:03,Twitter for iPhone,Say hello to Petrick. He's an Altostratus Floofer. Just had a run in with a trash bag. Groovy checkered floor. 11/10 https://t.co/rwW7z1JAOF,https://twitter.com/dog_rates/status/685307451701334016/photo/1,1.1,Petrick,496.0,2262.0,Pomeranian,0.963176,True,Floofer,7.0
2815,737445876994609152,nan,nan,2016-05-31 00:49:32,Twitter for iPhone,Just wanted to share this super rare Rainbow Floofer in case you guys haven't seen it yet. 13/10 colorful af https://t.co/CaG9MzD3WT,https://twitter.com/dog_rates/status/737445876994609152/photo/1,1.3,,5048.0,11302.0,Samoyed,0.400568,True,Floofer,
2423,800388270626521089,nan,nan,2016-11-20 17:20:08,Twitter for iPhone,This is Doc. He takes time out of every day to worship our plant overlords. 12/10 quite the floofer https://t.co/azMneS6Ly5,"https://twitter.com/dog_rates/status/800388270626521089/photo/1,https://twitter.com/dog_rates/status/800388270626521089/photo/1,https://twitter.com/dog_rates/status/800388270626521089/photo/1",1.2,Doc,3265.0,12456.0,Golden Retriever,0.35986,True,Floofer,3.0
2554,776218204058357768,nan,nan,2016-09-15 00:36:55,Twitter for iPhone,Atlas rolled around in some chalk and now he's a magical rainbow floofer. 13/10 please never take a bath https://t.co/nzqTNw0744,"https://twitter.com/dog_rates/status/776218204058357768/photo/1,https://twitter.com/dog_rates/status/776218204058357768/photo/1,https://twitter.com/dog_rates/status/776218204058357768/photo/1",1.3,,18497.0,33345.0,Samoyed,0.940326,True,Floofer,
2034,883360690899218434,nan,nan,2017-07-07 16:22:55,Twitter for iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,https://twitter.com/dog_rates/status/883360690899218434/photo/1,1.3,Grizzwald,3825.0,22986.0,Chow,0.987997,True,Floofer,9.0
